NAME,G,M,A,C
J110338.36-005208.4_r.fits,-0.742705510495,-1.59130935332,0.21443527729,0.27091
J100213.84+114120.5_r.fits,-0.729638030999,-2.04270383979,0.493699971359,0.317562
J091835.38+495042.5_r.fits,-0.66621881999,-2.16340546695,0.352383103966,0.242666
J221210.26+135703.6_r.fits,-0.860020606604,-2.42455907378,0.777430994281,0.0756753
J141547.22+411824.4_r.fits,-0.70950819193,-2.09928924921,0.232502011504,0.364234
J225900.18+132951.7_r.fits,-0.750544164027,-2.31015906871,0.269311758374,0.497099
J111038.86+034519.6_r.fits,-0.712345741253,-2.44830850077,0.211254645216,0.48201
J082854.33+343906.0_r.fits,-0.741227567144,-2.16960834598,0.327202985944,0.346784
J024440.65-090735.5_r.fits,-0.758465461501,-2.23639565761,0.204679504017,0.421703
J130709.78+523247.1_r.fits,-0.784907687986,-2.53540161475,0.257287152574,0.62145
J001947.33+003526.9_r.fits,-0.731765192315,-2.59252493461,0.152323001267,0.531267
J102332.53+460328.0_r.fits,-0.664639973947,-2.5533877361,0.29821611226,0.311844
J135848.07+045426.9_r.fits,-0.713768109615,-2.10808758185,0.219538261571,0.247706
J161433.82+414240.5_r.fits,-0.729729251962,-2.37407246728,0.292249982448,0.443293
J081956.74+392654.8_r.fits,-0.726631583823,-2.30838540475,0.275883457122,0.392551
J171934.81+563748.1_r.fits,-0.725126023279,-2.60375044023,0.226663806314,0.572153
J111406.32+554239.1_r.fits,-0.727014273674,-2.04317131414,0.219790404781,0.37403
J151944.30+441918.6_r.fits,-0.673599344025,-2.4429464783,0.251353404164,0.401491
J090015.62+401748.4_r.fits,-0.675790345037,-1.95571693257,0.403125227776,0.314594
J231221.42+143633.8_r.fits,-0.632947816094,-2.65861925839,0.194735829194,0.50336
J114422.81+082315.1_r.fits,-0.686165521264,-2.52722601142,0.264200119958,0.37583
J145627.95+021224.7_r.fits,-0.729919959025,-2.39891411574,0.323016236172,0.427767
J091431.31+491657.5_r.fits,-0.710588399415,-2.3070388441,0.188578802444,0.363367
J164106.57+460014.6_r.fits,-0.676066975909,-2.10362649691,0.143718767754,0.309395
J090838.46+323534.6_r.fits,-0.748758440791,-2.58960907526,0.146912235561,0.568703
J132505.37-005411.2_r.fits,-0.719493411571,-2.47846682366,0.192327983581,0.479335
J131038.58+611623.6_r.fits,-0.604241240255,-2.08753378453,0.200873315299,0.282647
J121626.72+105342.4_r.fits,-0.691697902698,-1.98774187554,0.234171711788,0.271462
J102813.91+590602.3_r.fits,-0.739055873864,-2.31184972198,0.283455621674,0.375217
J004436.94-094600.4_r.fits,-0.791612075899,-2.21075257672,0.38804669659,0.35332
J085333.60+394537.3_r.fits,-0.684226245934,-2.58194412821,0.267359997534,0.38075
J161433.82+414240.5_r.fits,-0.73010653219,-2.3731588494,0.2925551918,0.443293
J085837.31+515242.6_r.fits,-0.718168565471,-2.67246004031,0.196330943039,0.462113
J102332.53+460328.0_r.fits,-0.664639973947,-2.5533877361,0.297088486059,0.311844
J085949.05+050339.1_r.fits,-0.691336400172,-2.32050576241,0.316192588684,0.319956
